match_number,comp_level,team,alliance,auto points,taxi points,foul points,teleop points,endgame_points,hanger ranking pt,score,rp
4,qm,frc753,blue,4,4,16,7,4,False,27,2
40,qm,frc2990,red,14,6,0,48,30,True,62,3
40,qm,frc2374,red,14,6,0,48,30,True,62,3
40,qm,frc997,red,14,6,0,48,30,True,62,3
40,qm,frc3024,blue,6,4,0,47,15,False,53,0
40,qm,frc2046,blue,6,4,0,47,15,False,53,0
40,qm,frc753,blue,6,4,0,47,15,False,53,0
41,qm,frc4450,red,10,4,0,30,16,True,40,1
41,qm,frc6343,red,10,4,0,30,16,True,40,1
41,qm,frc957,red,10,4,0,30,16,True,40,1
41,qm,frc4057,blue,14,6,0,52,16,True,66,4
41,qm,frc5970,blue,14,6,0,52,16,True,66,4
41,qm,frc1540,blue,14,6,0,52,16,True,66,4
42,qm,frc6443,red,12,6,0,27,21,True,39,3
42,qm,frc2733,red,12,6,0,27,21,True,39,3
42,qm,frc2915,red,12,6,0,27,21,True,39,3
42,qm,frc4127,blue,6,6,8,23,15,False,37,0
42,qm,frc2471,blue,6,6,8,23,15,False,37,0
42,qm,frc568,blue,6,6,8,23,15,False,37,0
43,qm,frc3636,red,12,6,16,2,0,False,30,0
43,qm,frc753,red,12,6,16,2,0,False,30,0
43,qm,frc6696,red,12,6,16,2,0,False,30,0
43,qm,frc2635,blue,4,4,4,50,21,True,58,3
43,qm,frc1359,blue,4,4,4,50,21,True,58,3
43,qm,frc2046,blue,4,4,4,50,21,True,58,3
44,qm,frc4662,red,8,4,0,24,6,False,32,0
44,qm,frc1425,red,8,4,0,24,6,False,32,0
44,qm,frc4450,red,8,4,0,24,6,False,32,0
44,qm,frc4057,blue,12,6,0,38,15,False,50,2
44,qm,frc3024,blue,12,6,0,38,15,False,50,2
44,qm,frc2990,blue,12,6,0,38,15,False,50,2
45,qm,frc2898,red,12,4,4,16,10,False,32,2
45,qm,frc3131,red,12,4,4,16,10,False,32,2
45,qm,frc6443,red,12,4,4,16,10,False,32,2
45,qm,frc2915,blue,8,4,4,18,10,False,30,0
45,qm,frc4127,blue,8,4,4,18,10,False,30,0
45,qm,frc997,blue,8,4,4,18,10,False,30,0
46,qm,frc568,red,8,6,0,24,12,False,32,0
46,qm,frc2471,red,8,6,0,24,12,False,32,0
46,qm,frc5970,red,8,6,0,24,12,False,32,0
46,qm,frc957,blue,4,4,8,23,6,False,35,2
46,qm,frc3673,blue,4,4,8,23,6,False,35,2
46,qm,frc6343,blue,4,4,8,23,6,False,35,2
47,qm,frc5975,red,10,4,0,27,10,False,37,2
47,qm,frc1540,red,10,4,0,27,10,False,37,2
47,qm,frc753,red,10,4,0,27,10,False,37,2
47,qm,frc2374,blue,10,4,0,12,12,False,22,0
47,qm,frc2733,blue,10,4,0,12,12,False,22,0
47,qm,frc4450,blue,10,4,0,12,12,False,22,0
48,qm,frc1359,red,16,6,12,24,16,True,52,1
48,qm,frc4127,red,16,6,12,24,16,True,52,1
48,qm,frc2898,red,16,6,12,24,16,True,52,1
48,qm,frc2990,blue,30,6,0,65,36,True,95,4
48,qm,frc2046,blue,30,6,0,65,36,True,95,4
48,qm,frc4662,blue,30,6,0,65,36,True,95,4
49,qm,frc6696,red,8,4,0,14,12,False,22,0
49,qm,frc6443,red,8,4,0,14,12,False,22,0
49,qm,frc5970,red,8,4,0,14,12,False,22,0
49,qm,frc3673,blue,6,4,0,20,6,False,26,2
49,qm,frc2915,blue,6,4,0,20,6,False,26,2
49,qm,frc3131,blue,6,4,0,20,6,False,26,2
5,qm,frc6443,red,10,4,0,15,10,False,25,0
5,qm,frc957,red,10,4,0,15,10,False,25,0
5,qm,frc1359,red,10,4,0,15,10,False,25,0
5,qm,frc4127,blue,14,6,4,28,6,False,46,2
5,qm,frc1540,blue,14,6,4,28,6,False,46,2
5,qm,frc2374,blue,14,6,4,28,6,False,46,2
50,qm,frc997,red,8,6,4,35,30,True,47,2
50,qm,frc2733,red,8,6,4,35,30,True,47,2
50,qm,frc2635,red,8,6,4,35,30,True,47,2
50,qm,frc6343,blue,4,2,4,39,21,True,47,2
50,qm,frc2374,blue,4,2,4,39,21,True,47,2
50,qm,frc3636,blue,4,2,4,39,21,True,47,2
51,qm,frc2471,red,14,6,4,55,21,True,73,3
51,qm,frc957,red,14,6,4,55,21,True,73,3
51,qm,frc1540,red,14,6,4,55,21,True,73,3
51,qm,frc5975,blue,12,4,0,14,0,False,26,0
51,qm,frc1425,blue,12,4,0,14,0,False,26,0
51,qm,frc3024,blue,12,4,0,14,0,False,26,0
52,qm,frc4057,red,12,6,4,19,6,False,35,0
52,qm,frc4450,red,12,6,4,19,6,False,35,0
52,qm,frc4127,red,12,6,4,19,6,False,35,0
52,qm,frc568,blue,6,2,8,45,45,True,59,3
52,qm,frc6696,blue,6,2,8,45,45,True,59,3
52,qm,frc2898,blue,6,2,8,45,45,True,59,3
53,qm,frc3673,red,12,6,4,16,12,False,32,0
53,qm,frc2915,red,12,6,4,16,12,False,32,0
53,qm,frc4662,red,12,6,4,16,12,False,32,0
53,qm,frc2990,blue,12,4,20,27,15,False,59,2
53,qm,frc3131,blue,12,4,20,27,15,False,59,2
53,qm,frc753,blue,12,4,20,27,15,False,59,2
54,qm,frc2471,red,20,4,8,33,21,True,61,1
54,qm,frc3024,red,20,4,8,33,21,True,61,1
54,qm,frc6343,red,20,4,8,33,21,True,61,1
54,qm,frc6443,blue,18,6,8,43,21,True,69,3
54,qm,frc1359,blue,18,6,8,43,21,True,69,3
54,qm,frc3636,blue,18,6,8,43,21,True,69,3
55,qm,frc2374,red,4,4,0,0,0,False,4,0
55,qm,frc4057,red,4,4,0,0,0,False,4,0
55,qm,frc5975,red,4,4,0,0,0,False,4,0
55,qm,frc1425,blue,20,6,8,11,0,False,39,2
55,qm,frc5970,blue,20,6,8,11,0,False,39,2
55,qm,frc997,blue,20,6,8,11,0,False,39,2
56,qm,frc568,red,6,4,12,21,6,False,39,0
56,qm,frc2635,red,6,4,12,21,6,False,39,0
56,qm,frc1540,red,6,4,12,21,6,False,39,0
56,qm,frc957,blue,14,6,0,50,15,False,64,3
56,qm,frc2046,blue,14,6,0,50,15,False,64,3
56,qm,frc2733,blue,14,6,0,50,15,False,64,3
6,qm,frc2915,red,10,6,8,12,6,False,30,2
6,qm,frc6696,red,10,6,8,12,6,False,30,2
6,qm,frc4450,red,10,6,8,12,6,False,30,2
6,qm,frc4662,blue,4,4,0,25,15,False,29,0
6,qm,frc997,blue,4,4,0,25,15,False,29,0
6,qm,frc2471,blue,4,4,0,25,15,False,29,0
7,qm,frc753,red,2,2,16,10,6,False,28,0
7,qm,frc2635,red,2,2,16,10,6,False,28,0
7,qm,frc2898,red,2,2,16,10,6,False,28,0
7,qm,frc2046,blue,10,4,0,23,0,False,33,2
7,qm,frc6343,blue,10,4,0,23,0,False,33,2
7,qm,frc4057,blue,10,4,0,23,0,False,33,2
8,qm,frc4127,red,0,0,8,10,6,False,18,0
8,qm,frc3024,red,0,0,8,10,6,False,18,0
8,qm,frc6443,red,0,0,8,10,6,False,18,0
8,qm,frc3131,blue,6,4,4,35,15,False,45,2
8,qm,frc3636,blue,6,4,4,35,15,False,45,2
8,qm,frc568,blue,6,4,4,35,15,False,45,2
9,qm,frc1425,red,10,6,0,0,0,False,10,0
9,qm,frc3673,red,10,6,0,0,0,False,10,0
9,qm,frc2733,red,10,6,0,0,0,False,10,0
9,qm,frc5970,blue,14,4,0,31,21,True,45,3
9,qm,frc2990,blue,14,4,0,31,21,True,45,3
9,qm,frc5975,blue,14,4,0,31,21,True,45,3
